timestamp,energyB,energyP,on_offL1,on_offL2,powerC,powerP,powerL1,powerL2,powerA
2022-06-29 11:24:45.171371,379.59995,779.7588916666665,0,0.0,945.954,1914.416,779.53,0.0,968.462
2022-06-29 11:24:55.310792,382.2816666666666,785.072936111111,0,0.0,947.638,1913.056,785.74,0.0,965.418
2022-06-29 11:25:05.142645,384.9778472222222,790.4029166666666,0,0.0,948.168,1918.793,785.39,0.0,970.6249999999999
2022-06-29 11:25:15.100847,387.67080277777774,795.7240583333332,0,0.0,946.147,1915.611,783.66,0.0,969.464
2022-06-29 11:25:25.123849,390.35284999999993,801.0421777777776,0,0.0,948.986,1914.523,784.0,0.0,965.5369999999999
2022-06-29 11:25:35.397092,393.03634722222216,806.3565166666665,0,0.0,947.103,1913.162,784.35,0.0,966.0590000000001
2022-06-29 11:25:45.319475,395.7077916666666,811.6618777777776,0,0.0,948.21,1909.93,786.78,0.0,961.72
2022-06-29 11:25:55.214606,398.3789777777777,816.9713111111109,0,0.0,949.769,1911.396,781.24,0.0,961.627
2022-06-29 11:26:07.543574,401.0527,822.2704777777776,0,0.0,945.16,1907.7,783.31,0.0,962.5400000000001
2022-06-29 11:26:15.284096,403.7428861111111,827.5853222222221,0,0.0,944.877,1913.344,782.62,0.0,968.4670000000001
2022-06-29 11:26:25.224366,406.4544333333333,832.9227555555555,0,0.0,945.319,1921.476,784.7,0.0,976.1570000000002
2022-06-29 11:26:35.362132,409.1679833333333,838.2699694444443,0,0.0,948.119,1924.997,784.35,0.0,976.878
2022-06-29 11:26:45.291406,411.8948138888889,843.6260999999998,0,0.0,946.548,1928.207,785.74,0.0,981.6590000000001
2022-06-29 11:26:55.392114,414.6367222222223,848.9993083333331,0,0.0,947.268,1934.355,785.74,0.0,987.087
2022-06-29 11:27:05.133726,417.38337500000006,854.3677916666664,0,0.0,943.859,1932.654,780.55,0.0,988.795
2022-06-29 11:27:15.298924,420.1220722222223,859.7413361111109,0,0.0,948.545,1934.476,786.78,0.0,985.9310000000002
2022-06-29 11:27:25.333744,422.8598472222223,865.1132416666665,0,0.0,948.287,1933.886,787.13,0.0,985.5989999999999
2022-06-29 11:27:35.270913,425.5839111111112,870.4658583333331,0,0.0,946.279,1926.942,786.09,0.0,980.663
2022-06-29 11:27:45.227752,428.30123055555566,875.8238527777776,0,0.0,950.643,1928.878,786.09,0.0,978.2349999999999
2022-06-29 11:27:55.355408,431.0230027777779,881.1721305555553,0,0.0,945.542,1925.38,784.35,0.0,979.8380000000001
2022-06-29 11:28:05.177384,433.7468472222224,886.5283249999998,0,0.0,947.646,1928.23,785.74,0.0,980.5840000000001
2022-06-29 11:28:15.305966,436.47112222222233,891.8797638888886,0,0.0,945.779,1926.518,785.74,0.0,980.739
2022-06-29 11:28:25.365221,439.2023361111112,897.2407444444442,0,0.0,946.716,1929.953,783.31,0.0,983.237
2022-06-29 11:28:35.399980,441.9334250000001,902.595422222222,0,0.0,944.492,1927.684,785.04,0.0,983.192
2022-06-29 11:28:45.515577,444.6603055555557,907.960683333333,0,0.0,949.817,1931.494,786.44,0.0,981.6769999999999
2022-06-29 11:28:55.326575,447.3840527777779,913.3080249999996,0,0.0,944.494,1925.043,786.78,0.0,980.5489999999999
2022-06-29 11:29:05.423921,450.10477777777794,918.6642777777774,0,0.0,948.79,1928.251,785.74,0.0,979.461
2022-06-29 11:29:15.419856,452.8201500000002,924.0072916666664,0,0.0,945.951,1923.485,786.78,0.0,977.5339999999999
2022-06-29 11:29:25.438449,455.5315500000002,929.3456111111108,0,0.0,945.691,1921.795,787.13,0.0,976.104
2022-06-29 11:29:35.387661,458.2430333333335,934.6856611111108,0,0.0,946.284,1922.418,782.62,0.0,976.1339999999999
2022-06-29 11:29:45.423137,458.3673083333336,940.035747222222,0,1.0,1881.292,1926.031,781.59,985.67,44.73900000000003
2022-06-29 11:29:55.464294,458.0047388888891,945.3701388888884,0,0.0,2050.906,1920.381,781.24,1041.81,-130.52499999999986
2022-06-29 11:30:05.396906,457.7028444444447,950.715019444444,0,0.0,2032.839,1924.157,775.1,1025.55,-108.68200000000002
2022-06-29 11:30:15.427459,457.55468888888913,956.0619638888884,0,0.0,1978.236,1924.9,775.78,970.04,-53.33600000000001
2022-06-29 11:30:25.464344,457.4292694444447,961.4166777777774,0,0.0,1972.848,1927.697,781.93,975.91,-45.15100000000007
2022-06-29 11:30:35.398347,457.0992694444447,966.7733388888884,0,0.0,2047.198,1928.398,780.9,1036.33,-118.80000000000018
2022-06-29 11:30:45.433823,456.92330000000027,972.1461861111108,0,0.0,1997.574,1934.225,774.08,981.31,-63.34900000000016
2022-06-29 11:30:55.532261,456.8017805555558,977.528608333333,0,0.0,1981.419,1937.672,779.53,973.77,-43.74700000000007
2022-06-29 11:31:05.510322,456.5413750000002,982.9072277777774,0,0.0,2030.049,1936.303,778.5,1024.36,-93.74599999999987
